comments,hate,label,bert_pred,bert_correct,lora_pred,lora_correct
"이번엔 경로우대 대상(주말극 ,일일극, 대하극아버지어머니역할) 아니라 제대로 된 대상같음",none,0,0,True,1,False
임신 하든말든 서민들 잘사는게중요,offensive,1,1,True,0,False
연예인들 다들 필라테스 하나 보네 재미 있나?,none,0,0,True,1,False
신랑은 모함? 난밥잘먹었는대 4끼 .. 그래서 살이 안빠짐 ㅜㅜ,none,0,0,True,1,False
제대로 크게 망했으면 좋겠다,offensive,1,1,True,0,False
하연주 보기싫음,hate,1,1,True,0,False
필모커플 비호감,none,0,0,True,1,False
손승연 가왕 이후에 계속 라인업 개폭망임 섭외할사람 떨어졌으면 그만하던가... 재미없어 ㅡ,none,0,0,True,1,False
이제 음악좀 듣자. 충분히 자숙했다.,none,0,0,True,1,False
이승윤 매니저 다시 불러라. 케미가 좋은 두 사람의 관계를 굳이 왜 이 시점에 과거사를 들춰 망가뜨리는지 이해가 안간다. 잘나가면 배아픈것이 종특이냐,offensive,1,1,True,0,False
세상에 이미 죽은 사람에게 상을 주다니 이게 말이 되냐?,offensive,1,1,True,0,False
음악퀄은 아직도 3사중에선 오이지야 음악 뮤비 무대 돈을 안아껴,none,0,0,True,1,False
아내의 맛은 전복맛인가요?,hate,1,1,True,0,False
류준열 교회검색^-^,offensive,1,1,True,0,False
여자 이쁘다.. 저러니 사귀지 부럽다,none,0,0,True,1,False
최명길 김소연 모녀로 질질 끌더니 김해숙 조연인가 했더니 암설정으로 연기 포텐 터지게 하는 ㅋㅋ 또 유선 김소연 울고불고 ㅠ 이번엔 김해숙 대상가자,none,0,0,True,1,False
호감2에 비호감2 이젠 딱 좋아,none,0,0,True,1,False
전원조작이라니 말도 안되죠그런개소리는 어디서 가져오시는거죠?아 기자님 상상력?,offensive,1,1,True,0,False
"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!",none,0,0,True,1,False
참나 통편집까지... 유영현만 안 나오면 되지이해가 안가네,none,0,0,True,1,False
아빠가 거기서 왜 나와 ㅋㅋㅋㅋㅋㅋㅋ......,none,0,0,True,1,False
에이미 제발 조용히 사세요..다른 사람에게 피해주지마라..너로 인하여 아무 이유없이 피해보게 하지마..재수앖네,offensive,1,1,True,0,False
진짜 난 송혜교 이쁜지 모르겠음. 참고로 31살 남자임.내 블로그 들어오면 알겠지만 남자 맞음.근데 진짜로 난 정미애가 더 이쁠거같음...,none,0,0,True,1,False
