comments,hate,label,bert_pred,bert_correct,lora_pred,lora_correct
김충재는 왜!! 자꾸 나오는거야??나혼자산다 없애던지 출연진들을 싹 바꿔라 ㅜ더이상 우려낼게 없을거같다,offensive,1,0,False,1,True
샤이니 민호 기대하고 왔는데... 신기방기 적힌 저 사진 남자 이름 아시는분 알려주세요,none,0,1,False,0,True
에라이 인간아,offensive,1,0,False,1,True
내가못생겨지니깐 이하이도이뻐보이네,hate,1,0,False,1,True
근데 학창시절에 싸움도 하고 얻어터지기도 하고 그러면서 하는거 아니냐??? 나도 싸워봤고 얻어터지기도 하고 얻어터지기도 하고 떄리진 못했네 ㅋ 근데 이정도가지고는 학창시절의 추억아니냐??,offensive,1,0,False,1,True
독과점의 결과,none,0,1,False,0,True
유재석라인 지겹다 나혼자산다 유사판 자연스럽지도 않고,offensive,1,0,False,1,True
수사 알겠고. 하차 하는거 알겠는데.. 퇴출은 머지?제목 너무 자극적이지 않나? 참 심하네. 기자.한사람의 인생을 망가트리는 것이라는 걸 알아야 하지 않을까?이런 제목은 수사 뒤에 나와도 늦지 않다.,offensive,1,0,False,1,True
명품옷이라도 저렇게 전체적으로 로고가 다 디자인 된 옷은 너무 촌스럽지 않나요? 저런옷은 왠지 입기 챙피할거 같은데,none,0,1,False,0,True
개그쟁이들 가스내들중에는 천이슬이가 가장에쁘다 천이슬이 을매나 이쁘노 가스내스랍고,offensive,1,0,False,1,True
이창섭 첨들어보는데 저게 아이돌 이름이냐?,offensive,1,0,False,1,True
부럽다. 나도 소간지랑 저 집에서 살고.....시프네요ㅠ,none,0,1,False,0,True
구구절절 맞는말만 하는데 자꾸 시비걸고 불만인 사람들 범죄자 정준영 지인인가봐ㅋㅋㅋㅋ,offensive,1,0,False,1,True
패션이 왜저래ㅠ 남편이 용돈 안줘요?,hate,1,0,False,1,True
어지간히 급했다,none,0,1,False,0,True
안하는게 정답이다 괜히 사진올리고ᆢᆢ악플달리고ᆢᆢ머리아프,none,0,1,False,0,True
누가 조문인증을 강요햇대 조문인증기사쓰는 기자들이 웃긴소리하고 자빠졋네 이런기사나쓰지마,offensive,1,0,False,1,True
설마 홍자쪽에서 담근건 아니겠지,offensive,1,0,False,1,True
제목어그로ㅡㅡ 이름보니 조혜련이네ㅋ 이름이 같아그런지 개그맨 조혜련이랑 하는짓 똑같너,offensive,1,0,False,1,True
한국판 사기가족을 전세계 에 널리 알린 영화..근데 내가 왜 부끄럽지,offensive,1,0,False,1,True
그러게 애 데리고 티비 좀 나오지 마요 애기 어릴 때 뭔 프로에 나와서 애기 침대에 툭 던지니까 리포터가 깜짝 놀라서 애기를 그렇게 던지냐고해도 해 맑게 웃더니만,hate,1,0,False,1,True
쫑나도 걸릴게 없거든...바람 피워도 불륜도 아니고...재산 문제도 없고...쿨하지...이런 보도 나오면 거진 얼마후 찠어지던데...얼마나 갈지...???,offensive,1,0,False,1,True
화보 왤케 중국스럽냐 촌스러움,offensive,1,0,False,1,True
씁쓸하네요.김흥국씨 돈벌이 못하게되면 부인분도 힘들텐데...좀 참으시지요. 십여년 동안 같이 안살다가 합치니 얼마나 힘들지 이해는합니다만...참..기러기가족 문제의 단적인 예.,none,0,1,False,0,True
엄마나 딸이나 똑같네 엄마도 너무하고 장윤정은 넘치는게 돈인데 애초에 여기까지 온게 둘다 똑같은것같은데,offensive,1,0,False,1,True
다 자기 업보예요 김구라가그렇게조언해줬는데ㅠ이제는행복하세요,none,0,1,False,0,True
여자송혜교 현빈ㅋㅋㅋㅋㅋㅋ이둘이 더만났으면ㅋㅋㅋㅋ,offensive,1,0,False,1,True
와진짜 대박 ㅡㅡ 형한테도 사기치고,offensive,1,0,False,1,True
근데 진짜 자살할생각이고 자살한 사람보면 자살을 암시하는 어떤 행동도 안하고 진짜 가던데...꼭 힘들다고 자살에 실패하는 사람들이 대부분 저렇게 티내고 시도하고 안죽던데...,hate,1,0,False,1,True
ㅋㅋㅋㅋㅋ 정존물 ㅋㅋㅋㅋㅋ,hate,1,0,False,1,True
난 남자쪽에서 여자를 버렸다는줄 알았는데 자세히 보니까 여자쪽 집에서 남자를 버린것 같은데... 버려놓고 이제와서?;;;,offensive,1,0,False,1,True
ㅋ 난 키 210km,offensive,1,0,False,1,True
홍정욱님 장례식장에 행거칩은 예의가 아닙니다.,offensive,1,0,False,1,True
이건 안재현이 바람을 폇어도 안재현 편이다,offensive,1,0,False,1,True
옌 또 뭐야 ?!,offensive,1,0,False,1,True
이서진좀 그만나와라 에휴,offensive,1,0,False,1,True
아시안컵에서 음주파동 일으키고 ㅎㅎㅎㅎㅎㅎ 그거밖에 생각 안남,offensive,1,0,False,1,True
세월호가 뭔데 이리 호들갑이냐. 뉴스에 나오는건 괜찮고 예능에 나오는건 이리호들갑떨정도로 안되는거냐! 원빈이 라디오스타나오면 아주 호들갑떨거같음.,hate,1,0,False,1,True
